Category,Year,Response,Count,Diverge Pct Abs,Diverge Pct
Arts,2022,Somewhat Dissatisfied,395,0.177927928,-0.177927928
Arts,2020,Somewhat Dissatisfied,455,0.190855705,-0.190855705
Arts,2018,Somewhat Dissatisfied,346,0.175367461,-0.175367461
Arts,2016,Somewhat Dissatisfied,309,0.160186625,-0.160186625
Arts,2014,Somewhat Dissatisfied,329,0.161591356,-0.161591356
Arts,2012,Somewhat Dissatisfied,338,0.180266667,-0.180266667
Arts,2010,Somewhat Dissatisfied,461,0.188857026,-0.188857026
Arts,2008,Somewhat Dissatisfied,479,0.170159858,-0.170159858
Arts,2006,Somewhat Dissatisfied,425,0.165369650,-0.165369650
Arts,2022,Dissatisfied,248,0.111711712,-0.111711712
Arts,2020,Dissatisfied,281,0.117869128,-0.117869128
Arts,2018,Dissatisfied,203,0.102889002,-0.102889002
Arts,2016,Dissatisfied,209,0.108346293,-0.108346293
Arts,2014,Dissatisfied,213,0.104616896,-0.104616896
Arts,2012,Dissatisfied,243,0.1296,-0.1296
Arts,2010,Dissatisfied,270,0.110610406,-0.110610406
Arts,2008,Dissatisfied,235,0.083481350,-0.083481350
Arts,2006,Dissatisfied,259,0.100778210,-0.100778210
Arts,2022,Very Dissatisfied,139,0.062612613,-0.062612613
Arts,2020,Very Dissatisfied,225,0.094379195,-0.094379195
Arts,2018,Very Dissatisfied,195,0.098834263,-0.098834263
Arts,2016,Very Dissatisfied,187,0.096941420,-0.096941420
Arts,2014,Very Dissatisfied,175,0.085952849,-0.085952849
Arts,2012,Very Dissatisfied,185,0.098666667,-0.098666667
Arts,2010,Very Dissatisfied,236,0.096681688,-0.096681688
Arts,2008,Very Dissatisfied,189,0.067140320,-0.067140320
Arts,2006,Very Dissatisfied,154,0.059922179,-0.059922179
Arts,2022,Somewhat Satisfied,714,0.321621622,0.321621622
Arts,2020,Somewhat Satisfied,699,0.293204698,0.293204698
Arts,2018,Somewhat Satisfied,527,0.267105930,0.267105930
Arts,2016,Somewhat Satisfied,564,0.292379471,0.292379471
Arts,2014,Somewhat Satisfied,607,0.298133595,0.298133595
Arts,2012,Somewhat Satisfied,550,0.293333333,0.293333333
Arts,2010,Somewhat Satisfied,676,0.276935682,0.276935682
Arts,2008,Somewhat Satisfied,794,0.282060391,0.282060391
Arts,2006,Somewhat Satisfied,719,0.279766537,0.279766537
Arts,2022,Satisfied,513,0.231081081,0.231081081
Arts,2020,Satisfied,499,0.209312081,0.209312081
Arts,2018,Satisfied,469,0.237709072,0.237709072
Arts,2016,Satisfied,450,0.233281493,0.233281493
Arts,2014,Satisfied,498,0.244597250,0.244597250
Arts,2012,Satisfied,406,0.216533333,0.216533333
Arts,2010,Satisfied,554,0.226956166,0.226956166
Arts,2008,Satisfied,753,0.267495560,0.267495560
Arts,2006,Satisfied,669,0.260311284,0.260311284
Arts,2022,Very Satisfied,211,0.095045045,0.095045045
Arts,2020,Very Satisfied,225,0.094379195,0.094379195
Arts,2018,Very Satisfied,233,0.118094273,0.118094273
Arts,2016,Very Satisfied,210,0.108864697,0.108864697
Arts,2014,Very Satisfied,214,0.105108055,0.105108055
Arts,2012,Very Satisfied,153,0.0816,0.0816
